"lon","lat","freq"
-70.6930568,19.4791963,1
-99.7232673,19.4968732,3
-96.9226178,19.5300435,2
-96.9101806,19.5437751,1
-101.1949825,19.7059504,1
-155.5827818,19.8967662,2
-99.3395636,20.0535516,1
-98.7591311,20.1010608,1
78.1204073,20.3887937,1
-86.9223432,20.4229839,1
86.3896168,20.4410673,2
-97.4629119,20.5270592,2
-104.7908781,20.5273116,2
-100.8112885,20.5279612,1
-100.3898881,20.5887932,3
78.96288,20.593684,9
-103.4415022,20.651992,1
-103.3496092,20.6596988,5
-103.416501,20.6719563,1
85.0985236,20.9516658,1
-101.2573586,21.0190145,1
105.8341598,21.0277644,2
-98.4122162,21.1367171,1
-86.7360568,21.2384238,1
-157.8397635,21.293025,2
-16.9583389,21.3555475,2
-101.9291015,21.3634964,1
-157.970384,21.396314,2
88.363895,22.572646,2
120.2397336,23.1763401,2
72.3399927,23.2001229,1
85.309562,23.3440997,1
-102.552784,23.634501,17
120.960515,23.69781,2
86.4303859,23.7956531,1
90.4125181,23.810332,7
45.079162,23.885942,1
120.6736482,24.1477358,2
94.479976,24.9320611,1
55.2707828,25.2048493,9
75.8647527,25.2138156,2
55.166667,25.216667,3
51.183884,25.354826,2
-100.9836611,25.43208,2
-80.6326916,25.5516034,2
-97.8159111,25.6683739,2
-100.3161126,25.6866142,15
-80.1917902,25.7616798,47
-80.1300455,25.790654,2
-80.3099968,25.7925426,1
-80.289495,25.8223198,2
-80.4323837,26.0076468,1
-80.1494901,26.0112014,1
50.5577,26.0667,2
-80.1343301,26.0993883,1
-80.1841691,26.1365612,1
-80.422191,26.1401767,3
-97.887797,26.162872,1
-80.365865,26.190096,3
-98.3252932,26.2159066,1
-80.1247667,26.2378597,2
-98.2293307,26.291639,1
-80.1289321,26.3683064,1
-80.0728201,26.4614625,1
-80.0905465,26.5317866,1
-78.6962699,26.5481476,1
-81.6248026,26.6253497,1
-81.8723084,26.640628,3
-80.2683571,26.6617635,1
30.802498,26.820553,6
75.818674,26.9246438,1
-82.499394,27.271076,1
-82.5306527,27.3364347,4
-99.4672613,27.5759792,1
-81.5157535,27.6648274,55
-82.4331495,27.7208633,2
-97.407536,27.778258,1
-82.4571776,27.950575,15
-82.4354028,28.0107088,2
-97.0544341,28.0205733,2
-81.8661442,28.0582985,1
-80.6520272,28.0888298,1
-82.5579537,28.1793926,1
-82.7350514,28.2143574,5
94.7277528,28.2179994,5
-82.7256975,28.2721895,3
84.124008,28.394857,1
-81.5834428,28.4187123,3
-81.41945,28.440958,2
77.0266383,28.4594965,1
-81.4678193,28.4743207,2
-99.8606107,28.5219292,2
-81.4634245,28.5229956,1
77.3910265,28.5355161,1
-81.3792365,28.5383355,19
-81.7380989,28.5478831,1
-81.7728543,28.5494447,1
77.2090212,28.6139391,3
-106.0691004,28.6329957,1
-81.4145696,28.6351316,1
-81.3656242,28.6611089,1
-97.4148961,28.6661179,2
-100.5408622,28.6916182,2
-81.5322149,28.6934076,2
-81.8691228,28.7391313,8
-110.9559192,29.0729673,1
-81.0228331,29.2108147,2
-96.2894487,29.2162141,2
47.481766,29.31166,1
-98.4784533,29.3620342,1
-98.4780211,29.4193359,2
-98.4936282,29.4241219,25
-90.3074646,29.4737142,1
-98.3790669,29.474373,2
-95.0949303,29.5074538,1
-95.5543054,29.5527585,5
-98.2269553,29.561618,2
-98.6207675,29.5830244,1
-81.2078699,29.5844524,1
-95.6181045,29.5916788,1
-90.7195348,29.5957696,2
-95.5377215,29.6185669,1
-95.6349463,29.6196787,3
-82.3248262,29.6516344,2
-95.5249863,29.6567005,1
-95.190996,29.677366,2
-95.593239,29.6827204,2
-95.6227788,29.6888971,4
-91.3020502,29.6932641,1
-95.62202,29.7041625,1
-95.6041886,29.72345,1
-95.5827334,29.7408978,1
-95.3698028,29.7604267,95
-81.4605271,29.763138,1
-95.3773878,29.7748179,1
-95.4561893,29.7798703,1
-95.5035529,29.7896722,1
-97.9413941,29.8832749,1
-81.327602,29.884745,2
-93.939947,29.8849504,3
-81.3124341,29.9012437,2
-93.9171155,29.9482695,3
-90.0743769,29.948954,1
-90.0715323,29.9510658,15
-95.4032821,29.9806421,1
-90.188701,30.0006167,2
31.2088526,30.0130557,1
-95.4456729,30.0295982,2
-94.075231,30.040144,1
-95.4325287,30.0700573,2
-95.4171601,30.0799405,1
-85.6602058,30.1588129,2
-85.8054879,30.1765914,2
-98.0866781,30.1902067,2
-81.5596427,30.209807,1
-92.0198427,30.2240897,2
-97.7860636,30.2405598,2
-97.7430608,30.267153,34
-93.1702475,30.2770954,2
-81.3961338,30.2841224,2
-91.2342744,30.2890833,5
-91.23,30.29,1
-97.811217,30.3276799,2
-81.655651,30.3321838,8
-97.7730367,30.3407022,1
-89.0928155,30.3674198,2
69.345116,30.375321,4
-95.6963355,30.3882613,2
-97.6742533,30.3891701,1
-82.3017728,30.3931168,1
-88.8853078,30.3960318,2
-91.1800023,30.4132579,1
-91.1420115,30.4173348,1
-87.252231,30.425129,1
-84.3095434,30.4310431,1
